Airbnb Price to Free Cash Flow Ratio Historical Data,Airbnb Price to Free Cash Flow Ratio Historical Data,Airbnb Price to Free Cash Flow Ratio Historical Data,Airbnb Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,149.57,,23.23
2024-03-31,164.96,$6.44,25.62
2023-12-31,136.14,$5.87,23.2
2023-09-30,137.21,$6.45,21.27
2023-06-30,128.16,$5.86,21.86
2023-03-31,124.4,$5.53,22.5
2022-12-31,85.5,$5.04,16.95
2022-09-30,105.04,$5.29,19.85
2022-06-30,89.08,$4.41,20.2
2022-03-31,171.76,$4.64,37.0
2021-12-31,166.49,$3.75,44.34
2021-09-30,167.75,$0.87,192.51
