Marriott Quarterly Net Income (Millions of US $),Marriott Quarterly Net Income (Millions of US $).1
2024-06-30,$772
2024-03-31,$564
2023-12-31,$848
2023-09-30,$752
2023-06-30,$726
2023-03-31,$757
2022-12-31,$673
2022-09-30,$630
2022-06-30,$678
2022-03-31,$377
2021-12-31,$468
2021-09-30,$220
2021-06-30,$422
2021-03-31,$-11
2020-12-31,$-164
2020-09-30,$100
2020-06-30,$-234
2020-03-31,$31
2019-12-31,$279
2019-09-30,$387
2019-06-30,$232
2019-03-31,$375
2018-12-31,$317
2018-09-30,$503
2018-06-30,$667
2018-03-31,$420
2017-12-31,$114
2017-09-30,$485
2017-06-30,$489
2017-03-31,$371
2016-12-31,$272
2016-09-30,$70
2016-06-30,$247
2016-03-31,$219
2015-12-31,$202
2015-09-30,$210
2015-06-30,$240
2015-03-31,$207
2014-12-31,$197
2014-09-30,$192
2014-06-30,$192
2014-03-31,$172
2013-12-31,$151
2013-09-30,$160
2013-06-30,$179
2013-03-31,$136
2012-12-31,$181
2012-09-30,$143
2012-06-30,$143
2012-03-31,$104
2011-12-31,$141
2011-09-30,$-179
2011-06-30,$135
2011-03-31,$101
2010-12-31,$173
2010-09-30,$83
2010-06-30,$119
2010-03-31,$83
2009-12-31,$106
2009-09-30,$-466
2009-06-30,$37
2009-03-31,$-23
