Nutanix Quarterly Net Income (Millions of US $),Nutanix Quarterly Net Income (Millions of US $).1
2024-07-31,$-126
2024-04-30,$-16
2024-01-31,$33
2023-10-31,$-16
2023-07-31,$-13
2023-04-30,$-71
2023-01-31,$-71
2022-10-31,$-100
2022-07-31,$-152
2022-04-30,$-112
2022-01-31,$-115
2021-10-31,$-420
2021-07-31,$-360
2021-04-30,$-124
2021-01-31,$-287
2020-10-31,$-265
2020-07-31,$-185
2020-04-30,$-241
2020-01-31,$-218
2019-10-31,$-229
2019-07-31,$-194
2019-04-30,$-210
2019-01-31,$-123
2018-10-31,$-94
2018-07-31,$-87
2018-04-30,$-86
2018-01-31,$-63
2017-10-31,$-61
2017-07-31,$-66
2017-04-30,$-97
2017-01-31,$-76
2016-10-31,$-140
2016-07-31,$10
2016-04-30,$-47
2016-01-31,$-33
2015-10-31,$-39
2015-07-31,$-37
2015-04-30,$-33
2015-01-31,$-28
2014-10-31,$-29
2014-07-31,$-29
2014-04-30,$-24
2014-01-31,$-16
2013-10-31,$-15
2013-07-31,
