Perdoceo Education Quarterly Net Income (Millions of US $),Perdoceo Education Quarterly Net Income (Millions of US $).1
2024-06-30,$38
2024-03-31,$39
2023-12-31,$17
2023-09-30,$41
2023-06-30,$55
2023-03-31,$34
2022-12-31,$16
2022-09-30,$22
2022-06-30,$26
2022-03-31,$32
2021-12-31,$24
2021-09-30,$28
2021-06-30,$27
2021-03-31,$31
2020-12-31,$27
2020-09-30,$40
2020-06-30,$28
2020-03-31,$29
2019-12-31,$28
2019-09-30,$18
2019-06-30,$-1
2019-03-31,$25
2018-12-31,$14
2018-09-30,$15
2018-06-30,$9
2018-03-31,$18
2017-12-31,$-44
2017-09-30,$3
2017-06-30,$4
2017-03-31,$5
2016-12-31,$-33
2016-09-30,$-1
2016-06-30,$12
2016-03-31,$3
2015-12-31,$143
2015-09-30,$-45
2015-06-30,$-21
2015-03-31,$-25
2014-12-31,$-25
2014-09-30,$-48
2014-06-30,$-47
2014-03-31,$-58
2013-12-31,$-31
2013-09-30,$-87
2013-06-30,$-31
2013-03-31,$-15
2012-12-31,$-61
2012-09-30,$-33
2012-06-30,$-100
2012-03-31,$52
2011-12-31,$-120
2011-09-30,$11
2011-06-30,$55
2011-03-31,$73
2010-12-31,$12
2010-09-30,$26
2010-06-30,$64
2010-03-31,$55
2009-12-31,$31
2009-09-30,$21
2009-06-30,$6
2009-03-31,$23
