SAP SE Quarterly Net Income (Millions of US $),SAP SE Quarterly Net Income (Millions of US $).1
2024-06-30,$956
2024-03-31,$-899
2023-12-31,"$1,049"
2023-09-30,"$1,391"
2023-06-30,"$3,767"
2023-03-31,$437
2022-12-31,$547
2022-09-30,$674
2022-06-30,$355
2022-03-31,$830
2021-12-31,"$1,673"
2021-09-30,"$1,658"
2021-06-30,"$1,634"
2021-03-31,"$1,254"
2020-12-31,"$2,207"
2020-09-30,"$1,819"
2020-06-30,$954
2020-03-31,$898
2019-12-31,"$1,824"
2019-09-30,"$1,386"
2019-06-30,$640
2019-03-31,$-129
2018-12-31,"$1,963"
2018-09-30,"$1,131"
2018-06-30,$857
2018-03-31,$870
2017-12-31,"$2,385"
2017-09-30,"$1,155"
2017-06-30,$735
2017-03-31,$555
2016-12-31,"$1,481"
2016-09-30,$814
2016-06-30,$922
2016-03-31,$631
2015-12-31,"$1,420"
2015-09-30,$999
2015-06-30,$521
2015-03-31,$467
2014-12-31,"$1,690"
2014-09-30,"$1,168"
2014-06-30,$764
2014-03-31,$732
2013-12-31,"$1,940"
2013-09-30,"$1,009"
2013-06-30,$947
2013-03-31,$687
2012-12-31,"$1,517"
2012-09-30,$773
2012-06-30,$849
2012-03-31,$582
2011-12-31,"$1,559"
2011-09-30,"$1,741"
2011-06-30,$851
2011-03-31,$592
2010-12-31,$596
2010-09-30,$697
2010-06-30,$636
2010-03-31,$515
2009-12-31,"$1,025"
2009-09-30,$646
2009-06-30,$600
2009-03-31,$266
