Ubiquiti Quarterly Net Income (Millions of US $),Ubiquiti Quarterly Net Income (Millions of US $).1
2024-06-30,$104
2024-03-31,$76
2023-12-31,$82
2023-09-30,$88
2023-06-30,$104
2023-03-31,$99
2022-12-31,$112
2022-09-30,$93
2022-06-30,$93
2022-03-31,$50
2021-12-31,$104
2021-09-30,$132
2021-06-30,$154
2021-03-31,$146
2020-12-31,$160
2020-09-30,$157
2020-06-30,$93
2020-03-31,$104
2019-12-31,$86
2019-09-30,$98
2019-06-30,$71
2019-03-31,$88
2018-12-31,$78
2018-09-30,$86
2018-06-30,$70
2018-03-31,$103
2017-12-31,$-51
2017-09-30,$75
2017-06-30,$61
2017-03-31,$64
2016-12-31,$61
2016-09-30,$72
2016-06-30,$58
2016-03-31,$53
2015-12-31,$49
2015-09-30,$54
2015-06-30,$5
2015-03-31,$41
2014-12-31,$46
2014-09-30,$38
2014-06-30,$49
2014-03-31,$45
2013-12-31,$42
2013-09-30,$41
2013-06-30,$29
2013-03-31,$21
2012-12-31,$18
2012-09-30,$13
2012-06-30,$29
2012-03-31,$28
2011-12-31,$14
2011-09-30,$-81
2011-06-30,$18
2011-03-31,$3
2010-12-31,$4
2010-09-30,$4
2010-06-30,
