Ameren Quarterly Net Income (Millions of US $),Ameren Quarterly Net Income (Millions of US $).1
2024-06-30,$258
2024-03-31,$261
2023-12-31,$158
2023-09-30,$493
2023-06-30,$237
2023-03-31,$264
2022-12-31,$163
2022-09-30,$452
2022-06-30,$207
2022-03-31,$252
2021-12-31,$125
2021-09-30,$425
2021-06-30,$207
2021-03-31,$233
2020-12-31,$115
2020-09-30,$367
2020-06-30,$243
2020-03-31,$146
2019-12-31,$94
2019-09-30,$364
2019-06-30,$179
2019-03-31,$191
2018-12-31,$68
2018-09-30,$357
2018-06-30,$239
2018-03-31,$151
2017-12-31,$-60
2017-09-30,$288
2017-06-30,$193
2017-03-31,$102
2016-12-31,$32
2016-09-30,$369
2016-06-30,$147
2016-03-31,$105
2015-12-31,$29
2015-09-30,$343
2015-06-30,$150
2015-03-31,$108
2014-12-31,$48
2014-09-30,$293
2014-06-30,$149
2014-03-31,$96
2013-12-31,$37
2013-09-30,$302
2013-06-30,$95
2013-03-31,$-145
2012-12-31,"$-1,156"
2012-09-30,$374
2012-06-30,$211
2012-03-31,$-403
2011-12-31,$25
2011-09-30,$285
2011-06-30,$138
2011-03-31,$71
2010-12-31,$52
2010-09-30,$-167
2010-06-30,$152
2010-03-31,$102
2009-12-31,$79
2009-09-30,$227
2009-06-30,$165
2009-03-31,$141
