FTAI Aviation PE Ratio Historical Data,FTAI Aviation PE Ratio Historical Data,FTAI Aviation PE Ratio Historical Data,FTAI Aviation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,145.29,,0.0
2024-06-30,102.93,$-0.53,0.0
2024-03-31,66.85,$2.19,30.53
2023-12-31,45.86,$2.10,21.84
2023-09-30,34.88,$1.21,28.82
2023-06-30,30.8,$0.65,47.38
2023-03-31,26.9,$0.30,89.68
2022-12-31,16.28,$-2.22,0.0
2022-09-30,14.02,$-2.61,0.0
2022-06-30,17.77,$-2.82,0.0
2022-03-31,23.22,$-3.35,0.0
2021-12-31,25.71,$-1.45,0.0
2021-09-30,22.27,$-1.96,0.0
2021-06-30,29.1,$-1.82,0.0
2021-03-31,24.15,$-1.58,0.0
2020-12-31,19.89,$-1.21,0.0
2020-09-30,14.25,$1.62,8.8
2020-06-30,10.6,$2.22,4.78
2020-03-31,6.43,$2.64,2.44
2019-12-31,14.86,$2.60,5.71
2019-09-30,11.29,$0.48,23.52
2019-06-30,11.01,$0.23,47.86
2019-03-31,12.22,0,0.0
2018-12-31,10.05,$0.06,167.47
2018-09-30,12.49,$0.09,138.72
2018-06-30,12.19,$0.08,152.4
2018-03-31,10.55,$0.05,211.03
2017-12-31,12.91,0,0.0
2017-09-30,11.48,$-0.06,0.0
2017-06-30,9.95,$-0.12,0.0
2017-03-31,9.12,$-0.25,0.0
2016-12-31,7.96,$-0.27,0.0
2016-09-30,7.31,$-0.31,0.0
2016-06-30,5.22,$-0.45,0.0
2016-03-31,5.46,$-0.31,0.0
